Address,Zip Code,Cuisine,Longitude,insertedAtTimestamp,Number of Reviews,Latitude,Open,Business_ID,Rating,Name
83-13 Queens Blvd,11373,dessert,-73.8795452,06/10/2019 16:02:02,7,40.7375784,N/A,jNPYmziqQjIMP-1pOgSZdw,4.5,Kape't Torta
131A Orchard St,10002,brunch,-73.98952,06/10/2019 14:44:40,116,40.71972,N/A,vZevXSC1w27dEvXc2EHCEg,4.5,Good Thanks NYC
691 Amsterdam Ave,10025,vietnamese,-73.971405,06/10/2019 15:39:09,46,40.7923393,N/A,YCBjn0t4bMaQb8Bk7l37ng,2.5,Gan Asia
51 W 35th St,10001,korean,-73.9862269,06/10/2019 16:21:18,397,40.7501219,N/A,dpCSDy9uefOEcY44FHss2Q,3.5,Hyo Dong Gak
816 Broadway,10003,brunch,-73.9910601451993,06/10/2019 15:40:28,244,40.7327799573693,N/A,IiLLntICUim7YREkIBU7lA,4,Outro
40 East 33rd St,10016,american,-73.9831063896418,06/10/2019 16:18:03,403,40.7469069957733,N/A,LJaLQby_H8E9eHvcIW0xnw,4,Spoon Table & Bar
188 Montrose Ave,11206,american,-73.94186,06/10/2019 15:13:34,143,40.70734,N/A,8JDwcklaawqYprHg0c9aIA,4.5,The Brooklyn Tree
112 E 116th St,10029,chinese,-73.9426727294922,06/10/2019 16:13:04,18,40.7987632751465,N/A,R1eZIyH8dOECfqUGGcANdQ,3,Red Star Restaurant
410 W 43rd St,10036,american,-73.9929134,06/10/2019 16:08:44,160,40.7594098,N/A,HnFHxQUSviXVa1FUGR-Hjw,4,Adella
120 Mt Eden Ave,10452,chinese,-73.91249,06/10/2019 14:46:03,8,40.84323,N/A,sjOp9UbbfKbohpEjQt2JRg,4,King Dragon
764 9th Ave,10019,indian,-73.98806,06/10/2019 15:09:22,236,40.76415,N/A,FXDMFBM-rV2s5MHzA33d2g,4,Bombay Grill House
115 Broadway,10006,american,-74.01117,06/10/2019 16:20:26,358,40.708865,N/A,c1kKAH9XMPNeaBhvnIP0FQ,4,Trinity Place
37-66 74th St,11372,indian,-73.89176,06/10/2019 16:05:23,313,40.7471,N/A,uPW_isMEB92IDrX04pLK1g,3.5,Delhi Heights
2825 Frederick Douglass Blvd,10039,chinese,-73.93951,06/10/2019 15:07:36,12,40.82645,N/A,loLFoBWWXfpFu9fOdWebHQ,4,Yong Sheng
1055 1st Ave,10022,pizza,-73.9626842,06/10/2019 15:06:00,116,40.7588567,N/A,AOZlppihRNG8Y2N4Jid30A,4.5,Brooklyn Pizza Masters
85 Greenwich St,10006,mexican,-74.01356,06/10/2019 16:08:33,224,40.70772,N/A,0oRYwB_SLqjHptvUQwwe2w,3.5,Tajin
265 W 23rd St,10011,thai,-73.99764,06/10/2019 16:02:34,355,40.74524,N/A,OrhRTDA0dj81XVhOibXsUQ,3.5,Rin Thai
95 Cooper St,10034,dessert,-73.9211626,06/10/2019 14:48:08,20,40.8685444,N/A,NkZ60oYeFozFLpgQj2P8FA,4.5,Inwood Gourmet
631 5th Ave,11215,mexican,-73.9912745,06/10/2019 16:08:38,105,40.663129,N/A,tK_4ECZ0EPIhW8588hfn5g,4,El Nopal Restaurant & Juice Bar
281 Bleecker St,10014,american,-74.003223,06/10/2019 16:15:47,878,40.731926,N/A,PMp7WlHIXQUnej-Ds1jRfw,4,Blind Tiger Ale House
493 2nd Ave,10016,chinese,-73.97891,06/10/2019 16:15:31,61,40.74094,N/A,01m-oqxaCifh0s0eU03bBg,3,Asia Express
12 E 22nd St,10010,brunch,-73.9887542724609,06/10/2019 16:03:18,1009,40.7400817871094,N/A,6ujYWjs1FTksvuVxuzjUYA,3.5,Almond
237 W 35th St,10001,american,-73.9916151018524,06/10/2019 15:43:00,540,40.7522805974308,N/A,r-EDS_eO70HUgDmOk5_8Qw,4,Juniper Bar
219 Dyckman St,10034,brunch,-73.927333,06/10/2019 15:39:04,322,40.865788,N/A,l7E6lpov_VPbhrxjWT-76Q,3.5,The Park View
1216 Broadway,10001,dessert,-73.98833,06/10/2019 15:09:41,9,40.74661,N/A,YsApw7WRybSGLowqLIHHKA,4,Softbite
42-13 Broadway,11103,japanese,-73.9167939666258,06/10/2019 16:20:41,248,40.758007205736,N/A,XKDHsS8PevoEdFLNtt05FA,4.5,Shuya Cafe de Ramen
230 Park Ave,10169,pizza,-73.9765970005763,06/10/2019 15:08:14,198,40.7545170712701,N/A,YuzOnNDfRKixNJiaVy5Baw,4,Roberta's Pizza
10 Clermont Ave,11205,healthy,-73.9719,06/10/2019 16:20:55,82,40.69756,N/A,cI079LsWlkbjrVbRy27w_g,4.5,Rip's Malt Shop
709 8th Ave,10036,mexican,-73.9886919,06/10/2019 16:15:41,33,40.759132,N/A,SNNDz7nTCL1lf9yEY5DaBA,3.5,Margarita Bar NYC
459 Main St,10504,american,-73.7138499,06/10/2019 15:12:03,17,41.12803,N/A,RpkJ8pj-Xt66plOCE7kFKA,4,Schriefer's Armonk Deli & Catering
69 E Putnam Ave,06830,dessert,-73.6251215070436,06/10/2019 15:12:44,105,41.0327360464978,N/A,WzCQTxXQ6Ow4Vgo6Rd9sLw,3,Glory Days Diner
4720 Center Blvd,11109,brunch,-73.9575,06/10/2019 14:59:43,143,40.74596,N/A,TN1dGAwvNevkzXfL0sU41A,4,BLVD Wine Bar
88 Rte 46 W,07657,chinese,-74.0083200176165,06/10/2019 15:38:52,206,40.8447303369746,N/A,z4ac0Zdj7wyXqBQRRbQKOQ,3,Canton Palace II
55 W 45th St,10036,pizza,-73.981484,06/10/2019 16:13:51,475,40.756482,N/A,CYYLEipRFmr73Hz6XNEzoQ,4,Little Italy Pizza
405 W 44th St,10036,mexican,-73.992057800293,06/10/2019 16:15:34,106,40.7601356506348,N/A,hcI6TVxFyVNEPXg3rF1bQw,3.5,Oaxaca Taqueria
153D Centre St,10013,healthy,-74.00021,06/10/2019 14:44:38,68,40.71792,N/A,anayUOcPkiAvijszwOf_Rw,4.5,Spring Cafe
36 Engle St,07631,brunch,-73.9725631,06/10/2019 16:04:45,353,40.8941471,N/A,aI39yRQqpTd1VuKqS-lwig,4,Sofia
2277 1st Ave,10035,mexican,-73.934840150695,06/10/2019 15:01:01,32,40.7967861606349,N/A,b_3yI7FXcIle71lD9Tulww,4.5,Guajillo
516 Washington St,07030,vietnamese,-74.0294773458093,06/10/2019 15:44:44,230,40.7428751762768,N/A,OE9bjWdWyo530-Nj3dIILw,3,Pho Nomenon Noodle & Grill
41-08 149th Pl,11355,korean,-73.8147188962881,06/10/2019 16:04:52,109,40.7620679529178,N/A,mZdxvKqo8-hP86lus1pVHQ,4.5,Ssam Tong
152 Smith St,11201,mexican,-73.990821,06/10/2019 15:13:22,146,40.686578,N/A,8CTaeOtqr461Ah5yWcnCPw,4,Fatty Daddy Taco
345 E 12th St,10003,pizza,-73.98403,06/10/2019 16:20:43,153,40.73033,N/A,d8USIZvTTqee35l34anRBg,4.5,Sauce Pizzeria
1158 Myrtle Ave,11221,vietnamese,-73.93368,06/10/2019 15:06:44,303,40.69701,N/A,iYFauSnqLxvr4HTY_cIElg,4,Little Mo
1323 King St,06831,american,-73.699852,06/10/2019 15:12:10,2,41.079556,N/A,Lg1iK6f32TzWdGFT3qxyOQ,1,Fairways Restaurant
5 Beekman St,10038,dessert,-74.006814,06/10/2019 16:15:11,226,40.71141,N/A,FyFeyjndrXHDnN-z9-qv_w,4,Augustine
3607 E Tremont Ave,10465,brunch,-73.82429,06/10/2019 16:14:03,105,40.82904,N/A,52kgzsOIYvXo2NPAZ369qg,4,Casa Restaurant & Lounge
123 Essex St,10002,pizza,-73.9872791,06/10/2019 16:20:42,130,40.719742,N/A,TiXKrXF68JOUIj8P0Ba96w,4,Champion Pizza
20 Columbia Ave,07621,chinese,-73.995903,06/10/2019 16:03:45,16,40.93605,N/A,hlysl46pqJgpi6UjrwEdkQ,4,Beijing Kitchen
15 W 32nd St,10001,korean,-73.9862626791,06/10/2019 15:42:15,1440,40.747524574399,N/A,KaBw8UEm8uZTV6YLsshYrQ,3.5,Pocha 32
1310 Cortelyou Rd,11226,thai,-73.965713,06/10/2019 16:16:51,141,40.640433,N/A,UBnrFZuqa1nMrV7ncWHBwA,3.5,Corthaiyou
137 Sullivan St,10012,brunch,-74.00193,06/10/2019 16:03:18,116,40.72687,N/A,Re7S8onAwdMU8q2dDept3w,4.5,westbourne
1 Willett Ave,10573,seafood,-73.6604397109445,06/10/2019 15:12:36,1164,41.0019197808449,N/A,rqqKcelHOQvZ_WuJkJd8zA,4,Bartaco
85 Eldridge St Lower E,10002,chinese,-73.99254,06/10/2019 16:20:12,120,40.71725,N/A,agCuWjaUJ8xBO_PDDQRiGw,4.5,S Wan Cafe 洋紫荆
104 S 4th St,11249,brunch,-73.9634612,06/10/2019 16:01:44,364,40.7120096,N/A,1L0pkxU2QqOkOg2drzqtPA,4,Randolph Beer
423 Troutman St,11237,pizza,-73.922154,06/10/2019 16:13:51,234,40.7073067,N/A,mYQMjrtHp8vsEKKNsRz1XA,4,Union Pizza Works
2104 Starling Ave,10462,indian,-73.85487,06/10/2019 15:02:21,21,40.8359499,N/A,2DGTVgGGme6CoXFCgooqVw,4,Premium Sweets & Restaurant
94 University Pl,10003,mexican,-73.99304,06/10/2019 16:13:19,673,40.73387,N/A,HKBJGt04_ZSdiIWA_6J8kQ,3.5,Tortaria
91 Wyckoff Ave,11237,mexican,-73.92022,06/10/2019 16:15:41,235,40.70506,N/A,KyOtOluTH8c8SICpf85thg,4,Mesa Azteca
214 Franklin St,11222,american,-73.95798,06/10/2019 16:02:15,36,40.73311,N/A,utM-5navObsVA5sCRHobzA,5,Madre
527 Lenox Ave,10037,chinese,-73.9397296879857,06/10/2019 16:06:05,3,40.8149099511421,N/A,vDkAtrkji4YatAoKbqF_Yg,3.5,Great Wall
262 Boston Post Rd,10573,pizza,-73.672113,06/10/2019 15:12:18,26,40.99649,N/A,Dqh3sEXivFTVBWwaw0xjRg,1.5,Domino's Pizza
232 Willow Ave,07030,seafood,-74.034071,06/10/2019 16:19:33,438,40.73979,N/A,-SM_BQ5jiqvot_kl7RKoaQ,4,Zack's Oak Bar & Restaurant
234 Spring St,10013,italian,-74.00489,06/10/2019 16:02:07,140,40.72549,N/A,uboO7T3XSnl8iq0uQWhMXA,3.5,Café Altro Paradiso
245 3rd Ave,10010,pizza,-73.984176,06/10/2019 15:41:59,129,40.736942,N/A,JMXYzL0jquNEE9nIuWNzUw,3,Lunetta Pizza & Restaurant
99 Lexington Ave,10016,indian,-73.98273,06/10/2019 16:21:53,291,40.74206,N/A,fjjzAn0j6zCs2SNViuNfwQ,3.5,Kailash Parbat
353 Grand St,10002,chinese,-73.98945,06/10/2019 16:08:24,153,40.7167,N/A,oJjMYhA6z1_BVaQpSdyl8g,4,Golden Forest
39-56 61st St,11377,japanese,-73.9035436,06/10/2019 16:08:54,108,40.7458357,N/A,4eAgPj7eKonKAtk64kgUfQ,4.5,Matsuri
29-12 23rd Ave,11105,american,-73.9136003,06/10/2019 14:59:29,585,40.7746737,N/A,rrsjcQVLg2PkIkO_vPjOLw,4,The Bonnie
343 Lewis Ave,11233,chinese,-73.9351565390825,06/10/2019 16:08:24,90,40.6838402152061,N/A,U2aUFZARLeSMf4RQIxjuTw,4.5,Lucky House Kitchen
169 Thompson St,10012,seafood,-74.000466,06/10/2019 16:17:13,99,40.727688,N/A,xymU2HPO_euz1Ss1AE9Fyw,4,ZZ's Clam Bar
220 8th Ave,10011,dessert,-73.99909,06/10/2019 16:17:31,257,40.74411,N/A,98iFRMtrbF2tt20l-WtFEw,3,Milk Bar Chelsea
24-01 29th St,11102,brunch,-73.916496,06/10/2019 16:21:11,556,40.772731,N/A,dsTAUtR3bRMFIKJpAJk1Jw,4,The Sparrow Tavern
43 West 55st,10019,mexican,-73.97671,06/10/2019 16:10:53,102,40.76253,N/A,-Qn5nXGhxWHNePA0dYmPSg,4,Tacos Times Square
429 Malcolm X Blvd,10037,seafood,-73.94288,06/10/2019 16:21:55,92,40.81196,N/A,iOaIwnlMpciZMXjG3wlMSA,2.5,House Of Seafood Express
