num,Name,Address,Postcode,Type,Latitude,Longitude,Category,Rating
152,Amy Ruth's,113 W 116th St,10026,seafood,40.80248,-73.95038,restaurant,4
153,Amy Thai Bistro,545 Flatbush Ave,11225,thai,40.660748,-73.960415,restaurant,5
154,Amylos Taverna,33-19 Broadway,11106,seafood,40.76100386,-73.923,restaurant,4.5
155,Amy's Bread,672 9th Ave,10036,dessert,40.76121,-73.99024,restaurant,3.5
156,Amy's Restaurant,586 W 207th St,10034,chinese,40.86701,-73.92097,restaurant,4
157,An Choi,85 Orchard St,10002,vietnamese,40.71798,-73.99042,restaurant,3.5
158,ANA Ramen,457 W 50th St,10019,thai,40.76469,-73.99122,restaurant,3.5
159,Anand Indian Cuisine,304 E 78th St,10075,indian,40.77228,-73.95525,restaurant,4
160,Anchor Wine Bar,3508 Broadway,10031,italian,40.82536161,-73.95103388,restaurant,4
161,Andaman Thai Bistro,1843 1st Ave,10128,thai,40.78281,-73.94526,restaurant,4
162,Andiamo Cafe,2467 Grand Concourse,10468,healthy,40.86172292,-73.89798481,restaurant,3.5
163,Anejo,668 10th Ave,10036,mexican,40.762577,-73.992919,restaurant,3.5
164,Anejo Tribeca,301 Church St,10013,mexican,40.7193829,-74.004417,restaurant,4
165,Anella,222 Franklin St,11222,american,40.73327,-73.95786,restaurant,3.5
166,Angaar,283 Columbus Ave,10023,indian,40.7782,-73.97802,restaurant,4.5
167,Angel of Harlem,2272 Frederick Douglass Blvd,10027,brunch,40.807978,-73.952365,restaurant,4.5
168,Angela's Ice Cream & Desserts,151 Allen St,10002,dessert,40.720894,-73.989957,restaurant,4
169,Angelina Bakery,575 8th Ave,10018,dessert,40.75498,-73.99166,restaurant,4
170,Angelo Grill Chicken House,270 W 36th St,10018,vietnamese,40.75329025,-73.99235726,restaurant,3.5
171,Angelo's Coal Oven Pizzeria,117 W 57th St,10019,pizza,40.76492,-73.97794,restaurant,4
172,Angelo's Pizza,1697 Broadway,10019,pizza,40.76381699,-73.98274209,restaurant,4
173,Angies Cafe & Pizza,2559 3rd Ave,10451,pizza,40.81153,-73.92707,restaurant,3
174,Angkor Cambodian Bistro,408 E 64th St,10065,seafood,40.76226,-73.95914,restaurant,3.5
175,Anise,3511 Johnson Ave,10463,seafood,40.8859701,-73.9100529,restaurant,4
176,Anjappar Chettinad Restaurant,116 Lexington Ave,10016,indian,40.742603,-73.982795,restaurant,3
177,Anna Maria Pizza,179 Bedford Ave,11211,pizza,40.71795372,-73.9574499,restaurant,4
178,An'Nam,234 W 48th St,10036,thai,40.76052856,-73.98638916,restaurant,4.5
179,Anpanman Bakery Cafe,83 Canal St,10002,chinese,40.7154579,-73.9930816,restaurant,3.5
180,Anthony's Pizza,686 Morris Park Ave,10462,pizza,40.84505,-73.86628,restaurant,4.5
181,Antica Ristorante,8 Stone St,10004,italian,40.70393551,-74.01217318,restaurant,4
182,Antika,36-08 30th Ave,11106,pizza,40.76466,-73.91722,restaurant,4.5
183,Antojito Mexicano,6th Avenue & 28th Street,10001,mexican,40.74603807,-73.99051919,restaurant,3.5
184,Antonio's Pizza,130 Midland Ave,10573,italian,40.992469,-73.67012,restaurant,4.5
185,AOA Bar & Grill,35 Ave Of The Americas,10013,pizza,40.72068785,-74.00544055,restaurant,4.5
186,Aoyu Sushi,3532 A Johnson Ave,10463,japanese,40.88616346,-73.90969634,restaurant,4
187,Aperture,552 Court St,11231,italian,40.675033,-73.999706,restaurant,3.5
188,Apna Masala Indian Cuisine,344 E 6th St,10003,indian,40.72638346,-73.98645112,restaurant,4
189,"Aqua Best, Inc",276 Grand St,10002,seafood,40.718021,-73.992676,restaurant,4
190,Aquagrill,210 Spring St,10012,seafood,40.72535456,-74.00370109,restaurant,4
191,AquaMarina,4060 Broadway,10032,italian,40.8433196,-73.9388948,restaurant,4
192,Aqui Es Santa Fe,32 Broad St,10573,dessert,41.0018174,-73.66469303,restaurant,4
193,Arancini Bros,88 Essex St,10002,pizza,40.718597,-73.988154,restaurant,3.5
194,Archer & Goat,187 Lenox Ave,10026,american,40.80432,-73.94835,restaurant,3
195,Archie's Bar & Pizza,128 Central Ave,11221,pizza,40.699705,-73.928512,restaurant,4
196,Arco Cafe,886 Amsterdam Ave,10025,seafood,40.7988462,-73.967065,restaurant,2.5
197,Ariana Afghan Kebab Restaurant,787 9th Ave,10019,indian,40.76515,-73.98813,restaurant,3.5
198,Ariyoshi,4113 Queens Blvd,11104,japanese,40.743818,-73.92297872,restaurant,4
199,Armonie,1649 Park Ave,10035,italian,40.79979192,-73.94257535,restaurant,4
200,Aroma Indian Cuisine,6340 Woodhaven Blvd,11374,indian,40.723375,-73.868668,restaurant,4.5
201,Aroma Trattoria,932 8th Ave,10019,italian,40.76549,-73.98355,restaurant,3.5
202,Aroy Dee Thai Kitchen,20 John St,10038,vietnamese,40.7096786,-74.0089569,restaurant,4
